id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
32475,SKTU,heliport,"Gonzalo Mejía Airport",8.071878,-76.740124,6,SA,Colombia,CO,"Antioquía Department",CO-ANT,ANT,Turbo,0,SKTU,SKTU,TRB,TRB,,https://en.wikipedia.org/wiki/Gonzalo_Mej%C3%ADa_Airport,,50,2024-05-19T00:59:03+00:00
40989,CO-0490,closed,"Villanueva Airport",7.96984,-76.629789,83,SA,Colombia,CO,"Antioquía Department",CO-ANT,ANT,Turbo,0,,,,,,,"VVA, SK-026",50,2025-02-25T14:49:56+00:00
40993,SK-007,small_airport,"Indira Airport",7.943978,-76.696973,20,SA,Colombia,CO,"Antioquía Department",CO-ANT,ANT,Turbo,0,,,,INA,,,"Villanueva 2",50,2023-07-28T22:01:21+00:00
40863,SK-212,small_airport,"La Esperanza Airport",5.756111,-74.513056,625,SA,Colombia,CO,"Cundinamarca Department",CO-CUN,CUN,"Uerto Salgar",0,,,,PTS,,,,50,2009-10-20T10:45:41+00:00
40998,CO-0491,closed,"El Gilgal Airport",8.190978,-77.078646,89,NA,Colombia,CO,"Chocó Department",CO-CHO,CHO,Unguía,0,,,,,,,"EGI, SK-192",50,2025-02-25T14:49:56+00:00
41077,SK-196,small_airport,"Santa María del Darién Airport",8.175247,-77.057762,23,NA,Colombia,CO,"Chocó Department",CO-CHO,CHO,Unguía,0,,,,SMC,,,,50,2022-11-30T15:20:41+00:00
41078,CO-0494,closed,"Gilgal Airport",8.190674,-77.078576,148,NA,Colombia,CO,"Chocó Department",CO-CHO,CHO,Unguía,0,,,,,,,"GGL, SK-193",50,2025-02-25T14:49:56+00:00
41079,SK-197,small_airport,"Unguía Airport",8.032714,-77.091751,120,NA,Colombia,CO,"Chocó Department",CO-CHO,CHO,Unguía,0,,,UNC,UNC,,,,50,2022-11-30T15:16:42+00:00
505194,CO-0080,small_airport,"Balboa Airport",8.27745,-77.14141,226,SA,Colombia,CO,"Chocó Department",CO-CHO,CHO,Unguía,0,,,,,,,,50,2022-11-30T16:02:35+00:00
40620,SK-252,small_airport,"Puerto Estrella Airport",12.35,-71.3,10,SA,Colombia,CO,"La Guajira Department",CO-LAG,LAG,Uribia,0,,,,URA,,,,50,2009-10-20T10:45:45+00:00
43979,CO-0001,small_airport,"Punta Espada Airport",12.075256,-71.125725,,SA,Colombia,CO,"La Guajira Department",CO-LAG,LAG,Uribia,0,,,,,,,,50,2021-10-08T18:03:07+00:00
